O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,C_MKTSEGMENT,C_ACCTBAL,C_REGION,TOTAL_QUANTITY,AVG_DISCOUNT,TOTAL_DISCOUNT_VALUE,ITEM_COUNT,MAX_SHIP_DELAY
1,6766,O,100000.00,1998-08-01,3-MEDIUM,AUTOMOBILE,5000.00,AMERICA,100.00,0.05,5000.00,5,30
1,6766,O,200000.00,1998-08-01,3-MEDIUM,AUTOMOBILE,5000.00,AMERICA,200.00,0.05,10000.00,10,30
1,6766,O,150000.00,1998-08-01,3-MEDIUM,AUTOMOBILE,5000.00,AMERICA,150.00,0.05,7500.00,7,30
4,46778,O,120000.00,1998-08-01,3-MEDIUM,AUTOMOBILE,5000.00,AMERICA,120.00,0.05,6000.00,6,30
5,46778,O,80000.00,1998-08-01,3-MEDIUM,AUTOMOBILE,5000.00,AMERICA,80.00,0.05,4000.00,4,30
6,74500,O,100000.00,1998-08-01,3-MEDIUM,AUTOMOBILE,5000.00,EUROPE,100.00,0.05,5000.00,5,30
7,74500,O,200000.00,1998-08-01,3-MEDIUM,AUTOMOBILE,5000.00,EUROPE,200.00,0.05,10000.00,10,30
8,74500,O,150000.00,1998-08-01,3-MEDIUM,AUTOMOBILE,5000.00,EUROPE,150.00,0.05,7500.00,7,30
9,74500,O,120000.00,1998-08-01,3-MEDIUM,AUTOMOBILE,5000.00,EUROPE,120.00,0.05,6000.00,6,30
10,74500,O,80000.00,1998-08-01,3-MEDIUM,AUTOMOBILE,5000.00,EUROPE,80.00,0.05,4000.00,4,30
