O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK
22403,52795,O,163530.96,1998-08-01,3-MEDIUM,Clerk#000000054
27588,56479,O,37468.10,1998-08-01,3-MEDIUM,Clerk#000000967
37735,86446,O,37428.68,1998-08-01,3-MEDIUM,Clerk#000000919
57637,111394,O,78129.83,1998-08-01,1-URGENT,Clerk#000000383
59527,122731,O,237851.23,1998-08-01,1-URGENT,Clerk#000000212
75744,72418,O,115916.18,1998-08-01,5-LOW,Clerk#000000138
76032,137374,O,179494.02,1998-08-01,1-URGENT,Clerk#000000979
77315,95590,O,127466.07,1998-08-01,4-NOT SPECIFIED,Clerk#000000889
78501,82169,O,154878.82,1998-08-01,5-LOW,Clerk#000000077
87015,87086,O,56271.12,1998-08-01,5-LOW,Clerk#000000404
88485,12004,O,226562.80,1998-08-01,3-MEDIUM,Clerk#000000660
103683,95716,O,62495.56,1998-08-01,1-URGENT,Clerk#000000721
123682,12817,O,198421.82,1998-08-01,3-MEDIUM,Clerk#000000434
129505,117662,O,45911.81,1998-08-01,2-HIGH,Clerk#000000773
152647,37501,O,195716.84,1998-08-01,1-URGENT,Clerk#000000992
157026,52298,O,68158.93,1998-08-01,4-NOT SPECIFIED,Clerk#000000449
176228,63194,O,223664.52,1998-08-01,5-LOW,Clerk#000000497
187847,35227,O,66487.59,1998-08-01,5-LOW,Clerk#000000141
192901,7709,O,92365.51,1998-08-01,2-HIGH,Clerk#000000907
212006,107365,O,294624.64,1998-08-01,1-URGENT,Clerk#000000627
234215,24736,O,36834.07,1998-08-01,1-URGENT,Clerk#000000484
278053,50911,O,232667.17,1998-08-01,3-MEDIUM,Clerk#000000042
283106,141550,O,173076.26,1998-08-01,2-HIGH,Clerk#000000239
298752,28586,O,112792.25,1998-08-01,3-MEDIUM,Clerk#000000281
299398,142112,O,301771.00,1998-08-01,5-LOW,Clerk#000000614
299747,119080,O,199494.79,1998-08-01,1-URGENT,Clerk#000000854
301187,123889,O,97422.88,1998-08-01,3-MEDIUM,Clerk#000000012
312259,10138,O,113724.48,1998-08-01,2-HIGH,Clerk#000000246
313830,109894,O,124237.43,1998-08-01,2-HIGH,Clerk#000000301
320326,38986,O,24049.28,1998-08-01,3-MEDIUM,Clerk#000000770
327747,65080,O,192934.38,1998-08-01,2-HIGH,Clerk#000000904
331399,79973,O,29115.30,1998-08-01,3-MEDIUM,Clerk#000000419
343559,10091,O,169461.01,1998-08-01,4-NOT SPECIFIED,Clerk#000000322
394946,120922,O,184578.74,1998-08-01,3-MEDIUM,Clerk#000000898
407044,144667,O,66488.18,1998-08-01,3-MEDIUM,Clerk#000000455
417637,147439,O,60498.03,1998-08-01,2-HIGH,Clerk#000000123
431425,55565,O,46343.72,1998-08-01,3-MEDIUM,Clerk#000000161
432162,81814,O,88537.95,1998-08-01,1-URGENT,Clerk#000000425
432227,69241,O,181683.09,1998-08-01,1-URGENT,Clerk#000000382
452128,1073,O,129168.00,1998-08-01,5-LOW,Clerk#000000350
452484,17992,O,392394.17,1998-08-01,4-NOT SPECIFIED,Clerk#000000877
460646,91480,O,237422.99,1998-08-01,2-HIGH,Clerk#000000628
466310,79184,O,223745.74,1998-08-01,2-HIGH,Clerk#000000400
467651,136819,O,67143.33,1998-08-01,4-NOT SPECIFIED,Clerk#000000889
468131,110536,O,223406.94,1998-08-01,2-HIGH,Clerk#000000282
496612,48983,O,219747.14,1998-08-01,5-LOW,Clerk#000000565
497153,99263,O,130556.46,1998-08-01,2-HIGH,Clerk#000000039
501921,81466,O,328195.04,1998-08-01,5-LOW,Clerk#000000216
506023,63673,O,102312.81,1998-08-01,5-LOW,Clerk#000000889
507782,52534,O,143675.45,1998-08-01,4-NOT SPECIFIED,Clerk#000000278
541702,9142,O,132787.49,1998-08-01,1-URGENT,Clerk#000000338
547622,99976,O,301135.16,1998-08-01,1-URGENT,Clerk#000000479
548870,64885,O,279815.38,1998-08-01,5-LOW,Clerk#000000347
554339,57388,O,54979.85,1998-08-01,4-NOT SPECIFIED,Clerk#000000633
560675,82771,O,22345.35,1998-08-01,4-NOT SPECIFIED,Clerk#000000906
573573,54727,O,165205.83,1998-08-01,4-NOT SPECIFIED,Clerk#000000191
579751,48710,O,15616.72,1998-08-01,2-HIGH,Clerk#000000595
586374,141431,O,31912.33,1998-08-01,2-HIGH,Clerk#000000728
594438,71129,O,359149.24,1998-08-01,5-LOW,Clerk#000000285
5421061,55595,O,195746.80,1998-08-01,5-LOW,Clerk#000000670
5443904,147128,O,17921.87,1998-08-01,4-NOT SPECIFIED,Clerk#000000844
5472193,35024,O,90981.68,1998-08-01,2-HIGH,Clerk#000000647
5482563,26233,O,44595.89,1998-08-01,5-LOW,Clerk#000000639
5487172,80275,O,213318.40,1998-08-01,5-LOW,Clerk#000000816
5491431,54653,O,129043.65,1998-08-01,1-URGENT,Clerk#000000054
5496545,99680,O,40985.67,1998-08-01,5-LOW,Clerk#000000156
5501346,144152,O,297631.68,1998-08-01,2-HIGH,Clerk#000000665
5502052,101530,O,51966.39,1998-08-01,4-NOT SPECIFIED,Clerk#000000036
5503143,36742,O,244991.91,1998-08-01,1-URGENT,Clerk#000000079
5533411,46241,O,32681.99,1998-08-01,4-NOT SPECIFIED,Clerk#000000269
5536291,2245,O,144018.73,1998-08-01,4-NOT SPECIFIED,Clerk#000000354
5540198,91057,O,247765.10,1998-08-01,2-HIGH,Clerk#000000060
5540647,129938,O,119620.77,1998-08-01,1-URGENT,Clerk#000000641
5579363,134128,O,244567.84,1998-08-01,1-URGENT,Clerk#000000058
5583750,31225,O,142311.57,1998-08-01,2-HIGH,Clerk#000000151
5588103,79861,O,48285.60,1998-08-01,1-URGENT,Clerk#000000762
5596037,145516,O,270176.39,1998-08-01,4-NOT SPECIFIED,Clerk#000000353
5609029,149536,O,94456.71,1998-08-01,3-MEDIUM,Clerk#000000575
5640736,86099,O,81281.08,1998-08-01,1-URGENT,Clerk#000000195
