O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,C_MKTSEGMENT,C_ACCTBAL,C_REGION,TOTAL_QUANTITY,AVG_DISCOUNT,TOTAL_DISCOUNT_VALUE,ITEM_COUNT,MAX_SHIP_DELAY
3541604,89005,O,244828.01,1998-08-01,3-MEDIUM,AUTOMOBILE,1793.36,AMERICA,161.00,0.04428571,11213.2090,7,30
2019239,18739,O,187943.92,1998-08-01,2-HIGH,FURNITURE,4060.62,AMERICA,122.00,0.04750000,7103.3946,4,29
2024962,95236,O,191675.35,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,5713.50,AFRICA,125.00,0.04800000,6584.8326,5,30
2038309,87877,O,226766.92,1998-08-01,5-LOW,HOUSEHOLD,6840.98,AMERICA,157.00,0.05714286,12533.1636,7,30
2240994,48145,O,246580.54,1998-08-01,1-URGENT,AUTOMOBILE,7306.27,EUROPE,175.00,0.05571429,12993.7803,7,21
4099106,90922,O,266298.00,1998-08-01,1-URGENT,AUTOMOBILE,350.30,MIDDLE EAST,195.00,0.05857143,15304.2346,7,27
2405312,34856,O,150731.16,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,5659.42,EUROPE,96.00,0.02500000,3406.3015,2,25
732869,109381,O,8190.69,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,5945.97,ASIA,8.00,0.07000000,610.4000,1,21
762435,116026,O,141617.86,1998-08-01,1-URGENT,MACHINERY,7468.51,AMERICA,106.00,0.04800000,9347.5255,5,30
5353889,99154,O,173648.48,1998-08-01,1-URGENT,MACHINERY,1982.41,ASIA,111.00,0.05000000,7538.6310,5,18
4468992,121115,O,125139.35,1998-08-01,2-HIGH,AUTOMOBILE,1313.89,MIDDLE EAST,72.00,0.04500000,6331.8930,2,12
3074181,72736,O,164714.74,1998-08-01,4-NOT SPECIFIED,MACHINERY,5747.06,EUROPE,102.00,0.03250000,6494.7332,4,25
2221923,79739,O,155660.65,1998-08-01,4-NOT SPECIFIED,MACHINERY,5520.45,AMERICA,125.00,0.06000000,10850.4345,4,18
3797283,133927,O,175764.84,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,9308.48,EUROPE,129.00,0.04714286,8349.4854,7,30
5790886,63292,O,269043.77,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,2518.31,AMERICA,163.00,0.05833333,19873.9512,6,28
2867045,13810,O,310227.20,1998-08-01,4-NOT SPECIFIED,BUILDING,5133.48,ASIA,188.00,0.04333333,12664.0546,6,22
1034596,43787,O,221422.78,1998-08-01,1-URGENT,AUTOMOBILE,6642.64,AFRICA,132.00,0.04000000,6010.9925,7,26
5248038,86527,O,147627.20,1998-08-01,2-HIGH,MACHINERY,6370.96,MIDDLE EAST,88.00,0.07000000,9806.7495,4,22
4478530,96322,O,61712.69,1998-08-01,2-HIGH,MACHINERY,3720.24,MIDDLE EAST,40.00,0.02333333,1429.5348,3,24
3711556,77446,O,50321.75,1998-08-01,1-URGENT,HOUSEHOLD,7456.72,EUROPE,28.00,0.05000000,2522.3940,1,15
5842983,24188,O,20436.51,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,8970.32,ASIA,14.00,0.05000000,1024.3870,1,9
2700800,122143,O,90291.38,1998-08-01,4-NOT SPECIFIED,MACHINERY,5565.54,AMERICA,50.00,0.06000000,5336.3700,1,16
745636,36280,O,342116.81,1998-08-01,5-LOW,BUILDING,-799.63,MIDDLE EAST,235.00,0.05142857,17918.0455,7,30
687879,23158,O,64781.48,1998-08-01,1-URGENT,HOUSEHOLD,4914.40,ASIA,56.00,0.02000000,1238.7048,2,16
1443040,142448,O,354465.65,1998-08-01,4-NOT SPECIFIED,MACHINERY,4545.03,AMERICA,228.00,0.03714286,13162.7121,7,26
22403,52795,O,163530.96,1998-08-01,3-MEDIUM,HOUSEHOLD,9462.15,AMERICA,102.00,0.05000000,10515.2280,3,23
2061764,3685,O,55074.97,1998-08-01,3-MEDIUM,BUILDING,9030.92,AMERICA,49.00,0.06000000,3316.4376,1,25
3876963,105043,O,182387.16,1998-08-01,4-NOT SPECIFIED,BUILDING,3967.82,EUROPE,111.00,0.06000000,10882.1835,4,21
5502052,101530,O,51966.39,1998-08-01,4-NOT SPECIFIED,BUILDING,9331.80,MIDDLE EAST,40.00,0.02000000,532.2063,2,22
1053060,59629,O,89102.60,1998-08-01,3-MEDIUM,MACHINERY,8446.93,AFRICA,74.00,0.04250000,4044.0321,4,22
1093922,58619,O,106694.96,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,-808.87,MIDDLE EAST,76.00,0.07400000,9158.4556,5,30
1522274,37850,O,226267.76,1998-08-01,1-URGENT,AUTOMOBILE,1848.04,MIDDLE EAST,157.00,0.05000000,11181.9446,6,28
1578117,37333,O,148076.81,1998-08-01,1-URGENT,BUILDING,2104.33,AMERICA,111.00,0.05250000,7625.4287,4,9
4988065,39763,O,65860.16,1998-08-01,5-LOW,BUILDING,552.30,AMERICA,49.00,0.05000000,3333.0045,1,10
5104391,130102,O,80574.84,1998-08-01,5-LOW,MACHINERY,-350.07,EUROPE,51.00,0.04000000,3161.1136,2,19
75744,72418,O,115916.18,1998-08-01,5-LOW,BUILDING,5726.74,AFRICA,76.00,0.03333333,3347.5956,3,18
573573,54727,O,165205.83,1998-08-01,4-NOT SPECIFIED,MACHINERY,6509.71,ASIA,92.00,0.06400000,9502.2912,5,26
4567232,147460,O,59517.61,1998-08-01,5-LOW,BUILDING,5180.84,AFRICA,42.00,0.01000000,601.1880,1,25
3230560,115876,O,203083.78,1998-08-01,1-URGENT,BUILDING,3455.70,ASIA,135.00,0.02750000,4697.7685,4,28
2023776,145996,O,270883.25,1998-08-01,2-HIGH,MACHINERY,7717.91,AFRICA,172.00,0.05200000,15482.7515,5,16
5472193,35024,O,90981.68,1998-08-01,2-HIGH,HOUSEHOLD,1892.31,AMERICA,57.00,0.02500000,1978.0578,2,21
5666144,57337,O,300237.17,1998-08-01,3-MEDIUM,HOUSEHOLD,4407.27,MIDDLE EAST,203.00,0.05142857,15693.3273,7,30
2552997,9002,O,57927.61,1998-08-01,5-LOW,HOUSEHOLD,2559.45,AFRICA,43.00,0.03500000,1945.0704,2,30
992839,25906,O,195409.63,1998-08-01,5-LOW,FURNITURE,7881.98,EUROPE,127.00,0.02000000,2987.8461,4,26
1373477,23584,O,49167.12,1998-08-01,3-MEDIUM,MACHINERY,3040.60,AFRICA,41.00,0.10000000,5408.9250,1,5
4960836,14309,O,215306.36,1998-08-01,1-URGENT,FURNITURE,3431.04,AFRICA,147.00,0.05166667,10708.8781,6,28
343559,10091,O,169461.01,1998-08-01,4-NOT SPECIFIED,MACHINERY,5337.98,MIDDLE EAST,136.00,0.04800000,7005.8477,5,26
4262496,12070,O,65915.71,1998-08-01,3-MEDIUM,AUTOMOBILE,-372.60,MIDDLE EAST,44.00,0.05000000,4256.7214,2,21
4272672,36019,O,170125.80,1998-08-01,2-HIGH,BUILDING,7593.29,AMERICA,120.00,0.01666667,2677.9060,3,28
4766695,62480,O,256396.33,1998-08-01,2-HIGH,AUTOMOBILE,5854.56,AMERICA,154.00,0.05833333,16846.9772,6,20
3492259,130285,O,49153.62,1998-08-01,2-HIGH,AUTOMOBILE,6461.11,AFRICA,34.00,0.04000000,1128.6838,2,16
1892356,129988,O,219974.61,1998-08-01,4-NOT SPECIFIED,MACHINERY,1063.28,AFRICA,140.00,0.06000000,14326.7444,5,28
2120706,40159,O,102171.77,1998-08-01,5-LOW,BUILDING,8921.12,MIDDLE EAST,63.00,0.07333333,8753.0249,3,25
4077952,71665,O,277241.70,1998-08-01,1-URGENT,HOUSEHOLD,6057.41,ASIA,170.00,0.03500000,9772.4722,6,29
5640736,86099,O,81281.08,1998-08-01,1-URGENT,BUILDING,2701.76,EUROPE,61.00,0.02666667,1255.6843,3,25
2415718,38410,O,63227.82,1998-08-01,3-MEDIUM,HOUSEHOLD,9424.97,MIDDLE EAST,41.00,0.04000000,2485.3708,1,7
2861825,121981,O,241555.22,1998-08-01,3-MEDIUM,MACHINERY,3829.17,EUROPE,154.00,0.06666667,13468.2843,6,28
796067,13495,O,222005.50,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,6474.27,MIDDLE EAST,172.00,0.06142857,12551.5768,7,15
1223200,90179,O,113223.20,1998-08-01,1-URGENT,AUTOMOBILE,2190.15,ASIA,98.00,0.06000000,6155.8298,3,16
4499815,40249,O,45983.31,1998-08-01,5-LOW,BUILDING,2387.46,EUROPE,32.00,0.03000000,1609.3280,2,14
3227845,74515,O,26032.56,1998-08-01,1-URGENT,HOUSEHOLD,7171.06,EUROPE,20.00,0.10000000,2728.7800,1,13
2528865,92779,O,3703.76,1998-08-01,1-URGENT,BUILDING,5615.03,EUROPE,2.00,0.07000000,258.1278,1,14
2855909,134887,O,41418.39,1998-08-01,3-MEDIUM,FURNITURE,1769.00,EUROPE,34.00,0.08000000,3463.0768,1,29
2963558,97874,O,172925.54,1998-08-01,2-HIGH,MACHINERY,7516.35,AMERICA,104.00,0.06000000,12888.8766,4,28
666754,46192,O,3414.09,1998-08-01,1-URGENT,MACHINERY,1732.15,ASIA,3.00,0.01000000,33.4815,1,16
1392519,72157,O,179444.74,1998-08-01,4-NOT SPECIFIED,FURNITURE,4278.76,MIDDLE EAST,116.00,0.06000000,14082.4292,6,26
579751,48710,O,15616.72,1998-08-01,2-HIGH,FURNITURE,6266.58,AFRICA,9.00,0.01500000,231.9705,2,17
507782,52534,O,143675.45,1998-08-01,4-NOT SPECIFIED,BUILDING,8595.46,AFRICA,86.00,0.03500000,2728.0976,6,29
3523008,114376,O,131444.02,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,2331.21,AFRICA,74.00,0.02000000,2536.5688,2,28
5801955,73339,O,168992.60,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,-361.66,EUROPE,105.00,0.03500000,8981.7631,4,30
2779968,57343,O,48762.27,1998-08-01,3-MEDIUM,MACHINERY,5268.16,AMERICA,39.00,0.04500000,4543.2522,2,25
2905030,72160,O,80841.76,1998-08-01,1-URGENT,FURNITURE,6681.89,MIDDLE EAST,60.00,0.03250000,2914.7874,4,20
735842,102703,O,65437.21,1998-08-01,3-MEDIUM,FURNITURE,6895.50,ASIA,36.00,0.06000000,3806.8128,2,20
327747,65080,O,192934.38,1998-08-01,2-HIGH,BUILDING,9625.82,ASIA,130.00,0.02666667,5968.2381,6,26
4645058,124954,O,308784.91,1998-08-01,2-HIGH,BUILDING,3357.48,EUROPE,218.00,0.04000000,11456.8151,7,29
3105600,43813,O,162955.92,1998-08-01,5-LOW,FURNITURE,7307.32,MIDDLE EAST,116.00,0.06500000,9993.5044,4,28
3417540,80509,O,174168.46,1998-08-01,4-NOT SPECIFIED,BUILDING,1452.71,MIDDLE EAST,134.00,0.04200000,10400.0800,5,30
2002496,79040,O,240426.12,1998-08-01,3-MEDIUM,HOUSEHOLD,1568.57,MIDDLE EAST,158.00,0.06200000,15487.4809,5,26
5421061,55595,O,195746.80,1998-08-01,5-LOW,AUTOMOBILE,6598.15,EUROPE,155.00,0.04000000,7637.1638,5,27
2699750,72955,O,29950.59,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,9690.06,ASIA,23.00,0.09000000,2875.8717,1,13
1442339,7403,O,149392.30,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,4639.68,AFRICA,85.00,0.07333333,11296.8815,3,20
4885792,46778,O,61656.60,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,6911.67,EUROPE,52.00,0.07500000,5586.5172,2,21
5034148,99613,O,137012.14,1998-08-01,5-LOW,BUILDING,5326.46,AMERICA,96.00,0.04200000,4468.1222,5,24
77315,95590,O,127466.07,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,3249.67,MIDDLE EAST,93.00,0.05500000,7584.4629,4,22
278053,50911,O,232667.17,1998-08-01,3-MEDIUM,FURNITURE,4037.63,AMERICA,168.00,0.06571429,18112.3839,7,29
123682,12817,O,198421.82,1998-08-01,3-MEDIUM,BUILDING,2423.92,ASIA,136.00,0.08400000,16405.2612,5,27
2085990,18250,O,90302.41,1998-08-01,1-URGENT,MACHINERY,1124.69,MIDDLE EAST,55.00,0.09333333,9318.2937,3,24
