C_CUSTKEY,C_NAME,C_MKTSEGMENT,C_ACCTBAL,C_NATIONKEY,C_ACCTBAL_CLONED
1,Customer#000000001,AUTOMOBILE,5000.00,15,1000.00
1,Customer#000000002,AUTOMOBILE,5000.00,15,2000.00
1,Customer#000000003,AUTOMOBILE,5000.00,15,3000.00
2,Customer#000000004,BUILDING,5000.00,15,1000.00
2,Customer#000000005,BUILDING,5000.00,15,2000.00
2,Customer#000000006,BUILDING,5000.00,15,3000.00
3,Customer#000000007,HOUSEHOLD,5000.00,15,1000.00
3,Customer#000000008,HOUSEHOLD,5000.00,15,2000.00
3,Customer#000000009,HOUSEHOLD,5000.00,15,3000.00
3,Customer#000000010,HOUSEHOLD,5000.00,12,2000.00
